marker,consensus,X1,X2,X3,X4,X5,X6,LG,,gaccession,blast1,blast2,,,,,,,,,,,,,,,,,
scaffold_69546_1416,8.82,,9.1,10.72,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_45381_868,8.82,,,11.32,8.94,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_45381_872,8.82,,,11.32,8.94,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_128832_245,8.82,,,11.91,8.94,0,,3,16,,,,,,,,,,,,,,,,,,,,
scaffold_37044_2156,8.82,,,14.29,,0,,3,15,g28957.t1,ACB30546 putative lysophosphatidic acid acyltransferase [Ricinus communis]., glycerol-3-phosphate O-acyltransferase 3/4 [EC:2.3.1.15],,,,,,,,,,,,,,,,,
scaffold_31973_630,8.82,,,14.29,,0,,3,15,g26935.t1,XP_004290080 PREDICTED: CMP-sialic acid transporter 4 [Fragaria vesca subsp. vesca].," solute carrier family 35 (UDP-sugar transporter), member A1/2/3",,,,,,,,,,,,,,,,,
scaffold_31973_619,8.82,,,14.29,,0,,3,15,g26935.t1,XP_004290080 PREDICTED: CMP-sialic acid transporter 4 [Fragaria vesca subsp. vesca].," solute carrier family 35 (UDP-sugar transporter), member A1/2/3",,,,,,,,,,,,,,,,,
scaffold_31973_631,8.82,,,14.29,,0,,3,15,g26935.t1,XP_004290080 PREDICTED: CMP-sialic acid transporter 4 [Fragaria vesca subsp. vesca].," solute carrier family 35 (UDP-sugar transporter), member A1/2/3",,,,,,,,,,,,,,,,,
scaffold_69755_817,10.77,14.53,10.8,,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_32118_826,10.77,14.89,10.8,,,,0,3,15,,,,,,,,,,,,,,,,,,,,
SCF47809,10.77,,10.8,,,,,3,,,,,,,,,,,,,,,,,,,,,
scaffold_8209_2932,11.2,,10.8,14.29,11.32,,,3,14,g11273.t1,XP_002269385 PREDICTED: tubulin-folding cofactor C-like [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_8209_2945,11.2,,10.8,14.29,11.32,,,3,14,g11273.t1,XP_002269385 PREDICTED: tubulin-folding cofactor C-like [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_8873_4025,11.2,,10.8,,11.32,,,3,14,g11912.t1,XP_002282994 PREDICTED: calcium-dependent protein kinase 26 isoform X2 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_303_14812,11.2,,,14.29,,4.49,0,3,13,g860.t1,XP_004231109 PREDICTED: brefeldin A-inhibited guanine nucleotide-exchange protein 1 [Solanum lycopersicum].,0,,,,,,,,,,,,,,,,,
scaffold_303_14773,11.2,,,14.29,,4.49,0,3,13,g860.t1,XP_004231109 PREDICTED: brefeldin A-inhibited guanine nucleotide-exchange protein 1 [Solanum lycopersicum].,0,,,,,,,,,,,,,,,,,
scaffold_1220_9016,14.32,,13.92,,,,,3,14,g2587.t1,XP_002281749 PREDICTED: uncharacterized protein LOC100252108 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_484_15337,14.32,,13.92,,,,,3,13,g1236.t1,XP_002281652 PREDICTED: uncharacterized protein LOC100255496 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_484_15382,14.32,,13.92,,,,,3,13,g1236.t1,XP_002281652 PREDICTED: uncharacterized protein LOC100255496 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_484_15461,14.32,,13.92,,,,0,3,13,g1236.t1,XP_002281652 PREDICTED: uncharacterized protein LOC100255496 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_484_15473,14.32,,13.92,,,,0,3,13,g1236.t1,XP_002281652 PREDICTED: uncharacterized protein LOC100255496 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_484_15474,14.32,,13.92,,,,0,3,13,g1236.t1,XP_002281652 PREDICTED: uncharacterized protein LOC100255496 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_805_1077,16.32,21.15,15.92,,,,,3,13,g1876.t1,XP_003631541 PREDICTED: uncharacterized protein LOC100246973 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_14206_4603,16.32,,13.92,23.31,14.9,10.49,,3,15,g16544.t1,,0,,,,,,,,,,,,,,,,,
scaffold_95560_861,16.32,,17.31,,,,0,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_36168_1897,16.32,,,,2.38,,1.49,3,15,g28602.t1,XP_002517307 conserved hypothetical protein [Ricinus communis].,0,,,,,,,,,,,,,,,,,
scaffold_55209_1202,16.32,,,,,,1.49,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_55209_1311,16.32,,,,,,1.49,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_55209_1342,16.32,,,,,,1.49,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_14505_5942,17.03,21.15,,,14.9,,,3,15,g16754.t1,XP_004231055 PREDICTED: uncharacterized protein LOC101244815 [Solanum lycopersicum]., translation initiation factor IF-3,,,,,,,,,,,,,,,,,
SCF98686,17.2,,,24.51,14.9,10.49,1.49,3,,,,,,,,,,,,,,,,,,,,,
42710_K70,17.52,,,24.51,14.9,,,3,,,,,,,,,,,,,,,,,,,,,
411475_K63,17.52,,,24.51,14.9,,,3,,,,,,,,,,,,,,,,,,,,,
scaffold_54603_1691,17.71,29.46,17.31,24.51,14.9,,,3,15,g33950.t1,XP_003631574 PREDICTED: proline-rich protein 4-like [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_54603_1721,17.71,29.46,17.31,24.51,14.9,,,3,15,g33950.t1,XP_003631574 PREDICTED: proline-rich protein 4-like [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_21244_1604,17.71,,17.31,,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_14619_5062,17.71,,17.31,,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_22746_3852,17.71,,17.31,,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_39156_1356,17.71,,17.31,,,,,3,15,,,,,,,,,,,,,,,,,,,,
1trimcontig440008,17.71,,,25.1,14.9,,,3,,,,,,,,,,,,,,,,,,,,,
scaffold_37953_2229,17.76,,17.31,25.1,,10.49,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_120368_140,18.3,,,25.1,,10.49,,3,16,,,,,,,,,,,,,,,,,,,,
scaffold_37953_2374,18.3,,,25.1,,10.49,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_40272_1259,18.3,,,25.1,,10.49,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_37953_2377,18.3,,,25.1,,10.49,,3,15,,,,,,,,,,,,,,,,,,,,
SCF57479,19.56,,,25.1,,10.49,5.98,3,,,,,,,,,,,,,,,,,,,,,
scaffold_38329_2902,20.14,29.46,,25.1,19.07,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_8610_6310,20.14,29.46,17.31,26.29,19.07,,,3,14,,,,,,,,,,,,,,,,,,,,
scaffold_8610_6211,20.75,32.3,,26.29,19.07,,,3,14,,,,,,,,,,,,,,,,,,,,
scaffold_120368_107,20.75,32.3,,26.29,19.07,10.49,5.98,3,16,,,,,,,,,,,,,,,,,,,,
scaffold_132857_319,20.75,,,26.29,,13.48,,3,16,,,,,,,,,,,,,,,,,,,,
scaffold_20179_4053,20.75,,,,,,5.98,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_120110_223,20.75,,,,,,5.98,3,16,,,,,,,,,,,,,,,,,,,,
scaffold_163736_100,20.75,,,,,,5.98,3,16,,,,,,,,,,,,,,,,,,,,
scaffold_19700_1833,21.49,32.3,,,,13.48,,3,15,g20420.t1,XP_003603980 Inositol-1-monophosphatase [Medicago truncatula].,0,,,,,,,,,,,,,,,,,
scaffold_6379_4467,22.98,32.3,,,,14.97,,3,14,g9416.t1,XP_002883153 hypothetical protein ARALYDRAFT_898258 [Arabidopsis lyrata subsp. lyrata]., Ras-related protein Rab-7A,,,,,,,,,,,,,,,,,
scaffold_6379_4462,22.98,32.3,,,,14.97,,3,14,g9416.t1,XP_002883153 hypothetical protein ARALYDRAFT_898258 [Arabidopsis lyrata subsp. lyrata]., Ras-related protein Rab-7A,,,,,,,,,,,,,,,,,
scaffold_84794_1177,22.98,32.3,,,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_6379_4634,23.55,32.87,,,,,,3,14,g9416.t1,XP_002883153 hypothetical protein ARALYDRAFT_898258 [Arabidopsis lyrata subsp. lyrata]., Ras-related protein Rab-7A,,,,,,,,,,,,,,,,,
scaffold_6379_4585,23.55,32.87,,,,,,3,14,g9416.t1,XP_002883153 hypothetical protein ARALYDRAFT_898258 [Arabidopsis lyrata subsp. lyrata]., Ras-related protein Rab-7A,,,,,,,,,,,,,,,,,
121633_K63,23.59,,,29.27,,,,3,,,,,,,,,,,,,,,,,,,,,
scaffold_30651_1550,24.55,32.87,,,,17.96,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_103107_262,25.5,,26.49,31.65,23.38,17.96,11.92,3,16,,,,,,,,,,,,,,,,,,,,
scaffold_53375_1865,25.5,,,,23.59,,,3,15,g33707.t1,,0,,,,,,,,,,,,,,,,,
scaffold_40211_776,25.97,34.29,26.49,34.03,,17.96,13.47,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_26875_2437,25.97,34.29,26.49,34.03,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_3332_2249,25.97,34.29,,,23.59,,,3,14,g5759.t1,,0,,,,,,,,,,,,,,,,,
scaffold_26875_2440,25.97,34.29,26.49,34.03,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_23031_1288,25.97,,26.49,,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_31290_2119,25.97,,26.49,,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_31290_2139,25.97,,26.49,,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_49616_2230,25.97,,26.49,,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_5919_4165,25.97,,26.49,,,,,3,14,g8897.t1,XP_002284912 PREDICTED: uncharacterized protein LOC100250124 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
SCF38340,25.97,,26.49,34.03,,,,3,,,,,,,,,,,,,,,,,,,,,
scaffold_51167_1574,25.97,,,31.65,,17.96,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_51167_1566,25.97,,,31.65,,17.96,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_24357_1562,25.97,,,,,17.96,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_81716_1205,25.97,,,,,17.96,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_81716_1211,25.97,,,,,17.96,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_54785_1107,26.26,34.58,,,27.03,,,3,15,g33983.t1,XP_002284858 PREDICTED: expansin-A1 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_30061_2463,26.26,34.58,,34.03,,,,3,15,g26078.t1,XP_004235992 PREDICTED: cyclic dof factor 1-like [Solanum lycopersicum].,0,,,,,,,,,,,,,,,,,
scaffold_30061_2502,26.26,34.58,,34.03,,,,3,15,g26078.t1,XP_004235992 PREDICTED: cyclic dof factor 1-like [Solanum lycopersicum].,0,,,,,,,,,,,,,,,,,
scaffold_3812_6378,26.57,34.58,,35.22,27.03,17.96,,3,14,,,,,,,,,,,,,,,,,,,,
scaffold_3812_6384,26.57,34.58,,35.22,27.03,17.96,,3,14,,,,,,,,,,,,,,,,,,,,
scaffold_23031_2145,26.57,,,34.03,,17.96,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_46112_2395,26.57,,,34.63,27.03,17.96,13.47,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_15208_4395,26.57,,,35.22,,17.96,,3,15,,,,,,,,,,,,,,,,,,,,
1trimcontig439466,26.57,,,35.22,,17.96,13.47,3,,,,,,,,,,,,,,,,,,,,,
SCF9815,26.57,,,35.22,,,,3,,,,,,,,,,,,,,,,,,,,,
scaffold_108520_514,26.57,,,,27.03,,,3,16,,,,,,,,,,,,,,,,,,,,
scaffold_2565_10935,26.57,,,,27.03,,13.47,3,14,g4679.t1,,0,,,,,,,,,,,,,,,,,
scaffold_73187_404,26.57,,,,27.03,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_13388_3745,28.64,,,,29.41,,13.47,3,15,,,,,,,,,,,,,,,,,,,,
SCF110888,28.64,,,,29.41,,13.47,3,,,,,,,,,,,,,,,,,,,,,
scaffold_49616_2260,28.64,,,,29.41,,13.47,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_42014_1292,29.67,37.68,,,33.59,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_21160_2395,29.67,37.68,33.07,,33.59,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_36500_3209,30.23,38.84,,,,,13.47,3,15,g28732.t1,XP_002448503 hypothetical protein SORBIDRAFT_06g028070 [Sorghum bicolor].,0,,,,,,,,,,,,,,,,,
scaffold_24160_2138,30.23,38.84,33.63,40,,17.96,13.47,3,15,g23140.t1,"XP_004235987 PREDICTED: ATP synthase subunit gamma, mitochondrial [Solanum lycopersicum].", F-type H+-transporting ATPase subunit gamma,,,,,,,,,,,,,,,,,
scaffold_18210_2781,30.23,38.84,33.63,40,,17.96,13.47,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_42014_1307,30.23,,33.63,,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_57070_1345,30.23,,33.63,40,33.59,17.96,13.47,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_18210_2626,30.23,,33.63,40,,19.45,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_18210_2746,30.23,,33.63,40,,19.45,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_81500_1424,30.23,,,,33.59,,13.47,3,15,g38529.t1,,0,,,,,,,,,,,,,,,,,
scaffold_37951,30.23,,,,33.59,,,3,,,,,,,,,,,,,,,,,,,,,
scaffold_1478_9928,30.23,,,,,,13.47,3,14,g3008.t1,XP_004299107 PREDICTED: polyol transporter 5-like [Fragaria vesca subsp. vesca].,0,,,,,,,,,,,,,,,,,
scaffold_44298_2166,30.23,,,,,,13.47,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_90420_584,30.26,,,,34.18,,13.47,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_104859_376,32.35,,,,,19.45,,3,16,,,,,,,,,,,,,,,,,,,,
scaffold_58370_1534,32.77,43.09,,,,,17.96,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_90420_530,32.77,43.09,,,34.18,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_90420_542,32.77,43.09,,,34.18,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_90420_549,32.77,43.09,,,34.18,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_90420_626,32.77,43.09,,,34.18,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_88664_663,33.36,43.68,36.76,43.57,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_13562_2793,33.36,43.68,36.76,43.57,33.59,22.44,,3,15,g16023.t1,,0,,,,,,,,,,,,,,,,,
scaffold_5595_5982,33.36,43.68,36.76,43.57,34.78,22.44,,3,14,,,,,,,,,,,,,,,,,,,,
scaffold_61575_203,33.36,43.68,36.76,44.17,,19.45,13.47,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_70042_940,33.36,,38.18,,,17.96,13.47,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_70042_968,33.36,,38.18,,,17.96,13.47,3,15,,,,,,,,,,,,,,,,,,,,
82171_K70,33.36,,,43.57,34.78,,,3,,,,,,,,,,,,,,,,,,,,,
scaffold_15548_1005,33.36,,,43.57,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_113156_448,34.75,,38.46,43.57,,22.44,,3,16,,,,,,,,,,,,,,,,,,,,
SCF21119,34.75,,,44.17,35.97,,,3,,,,,,,,,,,,,,,,,,,,,
scaffold_2087_7048,34.78,46.81,38.18,44.17,,22.44,20.94,3,14,g3993.t1,XP_002521225 conserved hypothetical protein [Ricinus communis].,0,,,,,,,,,,,,,,,,,
scaffold_29047_2048,34.78,46.81,38.18,45.95,,,,3,15,g25615.t1,XP_003630872 hypothetical protein MTR_8g104400 [Medicago truncatula].,0,,,,,,,,,,,,,,,,,
scaffold_47624_1052,34.78,46.81,38.18,44.17,35.97,22.44,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_29047_2076,34.78,,38.46,44.17,,22.44,,3,15,g25615.t1,XP_003630872 hypothetical protein MTR_8g104400 [Medicago truncatula].,0,,,,,,,,,,,,,,,,,
scaffold_82560_1006,34.78,,,,,22.44,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_82560_1018,34.78,,,,,22.44,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_82560_930,34.78,,,,,22.44,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_82560_931,34.78,,,,,22.44,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_82560_970,34.78,,,,,22.44,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_10160_6524,35.06,,38.46,,,,,3,15,g13156.t1,,0,,,,,,,,,,,,,,,,,
scaffold_89673_809,35.34,47.37,,,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_20907_3773,35.34,47.37,,,,,26.92,3,15,g21193.t1,XP_002326678 predicted protein [Populus trichocarpa].,0,,,,,,,,,,,,,,,,,
scaffold_13882_622,35.34,47.37,,,36.56,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_13882_772,35.34,47.37,,,36.56,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_13882_803,35.34,47.37,,,36.56,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_30577_3814,35.34,47.37,,,,,26.92,3,15,g26327.t1,XP_002283095 PREDICTED: dihydropyrimidine dehydrogenase [NADP(+)] [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_70071_808,35.34,47.37,,,36.56,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_59598_424,35.34,48.51,39.6,45.95,,22.44,23.93,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_5850_3387,35.34,48.51,39.6,45.95,,,,3,14,,,,,,,,,,,,,,,,,,,,
scaffold_1733_151,35.34,48.51,39.6,45.95,,22.44,23.93,3,14,g3439.t1,,0,,,,,,,,,,,,,,,,,
scaffold_1733_156,35.34,48.51,39.6,45.95,,22.44,23.93,3,14,g3439.t1,,0,,,,,,,,,,,,,,,,,
scaffold_83752_1086,35.34,48.51,39.6,45.95,,22.44,23.93,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_52106_445,35.34,48.51,39.6,45.95,,22.44,23.93,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_83752_1040,35.34,48.51,39.6,45.95,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_32248_1991,35.34,49.08,39.6,47.14,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_85748_525,35.34,49.08,39.6,45.95,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_27672_3597,35.34,,38.46,,,22.44,23.93,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_37792_1500,35.34,,38.46,45.95,,22.44,,3,15,g29226.t1,,0,,,,,,,,,,,,,,,,,
scaffold_46451_1146,35.34,,38.46,47.14,37.16,22.44,23.93,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_56734_1093,35.34,,38.46,47.14,,22.44,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_56734_1132,35.34,,38.46,47.14,,22.44,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_85748_479,35.34,,38.46,47.14,36.56,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_94531_926,35.34,,38.46,45.95,,22.44,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_94531_929,35.34,,38.46,45.95,,22.44,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_94531_943,35.34,,38.46,45.95,,22.44,,3,15,,,,,,,,,,,,,,,,,,,,
1trimcontig436904,35.34,,,45.95,36.56,,,3,,,,,,,,,,,,,,,,,,,,,
scaffold_108730_32,35.34,,,45.95,,,,3,16,,,,,,,,,,,,,,,,,,,,
scaffold_5795_673,35.34,,,45.95,,22.44,25.43,3,14,g8774.t1,,0,,,,,,,,,,,,,,,,,
SCF108252,35.34,,,45.95,,,,3,,,,,,,,,,,,,,,,,,,,,
SCF128992,35.34,,,45.95,,,,3,,,,,,,,,,,,,,,,,,,,,
KAN-11440_291,35.34,,,47.14,36.56,,,3,10,,,,,,,,,,,,,,,,,,,,
SCF78184,35.34,,,47.14,,22.44,23.93,3,,,,,,,,,,,,,,,,,,,,,
scaffold_127523_575,35.34,,,,36.56,,26.92,3,16,,,,,,,,,,,,,,,,,,,,
scaffold_42119_2582,35.34,,,,36.56,,26.92,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_1733_59,35.34,,,,36.56,,26.92,3,14,g3439.t1,,0,,,,,,,,,,,,,,,,,
scaffold_15346_2911,35.34,,,,36.56,,26.92,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_35026_462,35.34,,,,36.56,,26.92,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_15346_2917,35.34,,,,36.56,,26.92,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_23737_3834,35.34,,,,36.56,,26.92,3,15,g22900.t1,,0,,,,,,,,,,,,,,,,,
scaffold_42096_2213,35.34,,,,36.56,,26.92,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_87905_1015,35.34,,,,36.56,,26.92,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_92611_523,35.34,,,,36.56,,26.92,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_98035_705,35.34,,,,36.56,,26.92,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_98035_706,35.34,,,,36.56,,26.92,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_214465_44,35.34,,,,36.56,,26.92,3,16,,,,,,,,,,,,,,,,,,,,
scaffold_214465_62,35.34,,,,36.56,,26.92,3,16,,,,,,,,,,,,,,,,,,,,
SCF22477,35.34,,,,36.56,,,3,,,,,,,,,,,,,,,,,,,,,
SCF53750,35.34,,,,36.56,,,3,,,,,,,,,,,,,,,,,,,,,
scaffold_35026_341,35.34,,,,36.56,,26.92,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_4302_2816,35.34,,,,36.56,,26.92,3,14,g7025.t1,,0,,,,,,,,,,,,,,,,,
scaffold_35026_366,35.34,,,,36.56,,26.92,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_53046_292,35.34,,,,36.56,,26.92,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_6553_5779,35.94,,,,37.16,,26.92,3,14,g9599.t1,,0,,,,,,,,,,,,,,,,,
scaffold_6553_5632,36.19,49.93,,,37.16,,,3,14,g9599.t1,,0,,,,,,,,,,,,,,,,,
scaffold_12185_2899,36.19,49.93,41.31,47.14,,22.44,23.93,3,15,g14900.t1,XP_002268900 PREDICTED: uncharacterized protein LOC100250656 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_38978_2057,36.19,49.93,,,,,26.92,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_129960_534,36.19,49.93,,,,,26.92,3,16,,,,,,,,,,,,,,,,,,,,
scaffold_6553_5803,36.19,49.93,,,37.16,,,3,14,g9599.t1,,0,,,,,,,,,,,,,,,,,
scaffold_57453_1060,36.19,,41.31,47.14,,22.44,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_3243_9538,36.49,50.23,,,40.74,,,3,14,,,,,,,,,,,,,,,,,,,,
scaffold_106895_552,36.49,50.23,,,,,26.92,3,16,,,,,,,,,,,,,,,,,,,,
scaffold_106895_571,36.49,50.23,,,,,26.92,3,16,,,,,,,,,,,,,,,,,,,,
scf9025,36.53,,,47.14,40.74,,,3,,,,,,,,,,,,,,,,,,,,,
scaffold_158866_55,37.13,,41.31,48.93,40.74,,,3,16,,,,,,,,,,,,,,,,,,,,
scaffold_3243_9598,37.13,,,,40.74,,26.92,3,14,,,,,,,,,,,,,,,,,,,,
scaffold_3243_9609,38.1,,41.31,50.72,40.74,,,3,14,,,,,,,,,,,,,,,,,,,,
SCF7845,38.92,,,50.72,,,,3,,,,,,,,,,,,,,,,,,,,,
scaffold_55507_341,38.92,,,50.72,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_10536_5013,38.95,,42.16,,,,,3,15,g13494.t1,XP_004232391 PREDICTED: transcription initiation factor IIB [Solanum lycopersicum]., transcription initiation factor TFIIB,,,,,,,,,,,,,,,,,
scaffold_14492_5182,38.95,,42.16,50.72,,32.95,,3,15,g16747.t1,XP_003631662 PREDICTED: uncharacterized protein LOC100853783 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_14492_5220,38.95,,42.16,50.72,,32.95,,3,15,g16747.t1,XP_003631662 PREDICTED: uncharacterized protein LOC100853783 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_18760_4623,39.27,53.01,,,43.12,,,3,15,g19791.t1,XP_003615217 hypothetical protein MTR_5g065250 [Medicago truncatula].,0,,,,,,,,,,,,,,,,,
scaffold_32778_1212,39.27,53.01,,,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_31578_1129,39.27,53.01,,,41.93,,,3,15,g26774.t1,XP_002331389 predicted protein [Populus trichocarpa].,0,,,,,,,,,,,,,,,,,
scaffold_32778_1122,39.27,53.01,,,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_3465_5158,39.27,53.01,,,,,,3,14,g5933.t1,XP_002277528 PREDICTED: far upstream element-binding protein 1 isoform X2 [Vitis vinifera]., far upstream element-binding protein,,,,,,,,,,,,,,,,,
scaffold_10536_5015,39.51,,,,43.12,,28.41,3,15,g13494.t1,XP_004232391 PREDICTED: transcription initiation factor IIB [Solanum lycopersicum]., transcription initiation factor TFIIB,,,,,,,,,,,,,,,,,
scaffold_24569_3552,39.51,,,,43.12,,28.41,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_24569_3565,39.51,,,,43.12,,28.41,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_24569_3574,39.51,,,,43.12,,28.41,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_61162_731,40.48,,,,43.12,,29.9,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_8287_2876,40.48,,,,43.12,,29.9,3,14,,,,,,,,,,,,,,,,,,,,
scaffold_8287_2891,40.48,,,,43.12,,29.9,3,14,,,,,,,,,,,,,,,,,,,,
scaffold_27872_1456,41.08,,42.16,53.7,,32.95,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_43967_1194,42.86,,44.13,,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_42742_163,42.86,,44.13,55.48,45.5,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_43967_1225,42.86,,44.13,,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_43967_1244,42.86,,44.13,,,,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_43967_1301,42.86,,44.13,,,29.96,29.9,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_61162_718,42.86,,44.13,55.48,,32.95,,3,15,,,,,,,,,,,,,,,,,,,,
scaffold_5558_3852,42.86,,,,45.5,,29.9,3,14,,,,,,,,,,,,,,,,,,,,
scaffold_120300_136,42.86,,,,45.5,,29.9,3,16,,,,,,,,,,,,,,,,,,,,
